index,age,workclass,education,marital-status,occupation,race,sex,native-country,salary
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse not present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,<=50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
*,*,*,*,Spouse present,Nontechnical,*,Female,*,>50K
